customer_id,email,full_name,signup_date,account_status,loyalty_points
CUST0001,customer1@example.com,Customer 1,2024-05-14,active,3364
CUST0002,customer2@example.com,Customer 2,2024-01-23,active,733
CUST0003,customer3@example.com,Customer 3,2024-07-18,active,3559
CUST0004,customer4@example.com,Customer 4,2024-09-07,active,3182
CUST0005,customer5@example.com,Customer 5,2024-12-14,active,3181
CUST0006,customer6@example.com,Customer 6,2024-06-01,active,650
CUST0007,customer7@example.com,Customer 7,2024-04-07,active,142
CUST0008,customer8@example.com,Customer 8,2024-09-24,active,665
CUST0009,customer9@example.com,Customer 9,2024-07-06,active,1085
CUST0010,customer10@example.com,Customer 10,2024-08-21,active,3593
CUST0011,customer11@example.com,Customer 11,2024-01-04,active,3139
CUST0012,customer12@example.com,Customer 12,2024-08-02,active,3193
CUST0013,customer13@example.com,Customer 13,2024-04-09,active,2567
CUST0014,customer14@example.com,Customer 14,2024-01-14,inactive,2013
CUST0015,customer15@example.com,Customer 15,2024-09-11,active,4934
CUST0016,customer16@example.com,Customer 16,2024-09-15,active,1173
CUST0017,customer17@example.com,Customer 17,2024-11-01,active,1956
CUST0018,customer18@example.com,Customer 18,2024-03-10,active,4756
CUST0019,customer19@example.com,Customer 19,2024-04-02,active,1527
CUST0020,customer20@example.com,Customer 20,2024-08-14,active,3768
CUST0021,customer21@example.com,Customer 21,2024-03-26,active,935
CUST0022,customer22@example.com,Customer 22,2024-11-16,inactive,4618
CUST0023,customer23@example.com,Customer 23,2024-09-18,active,2494
CUST0024,customer24@example.com,Customer 24,2024-06-24,active,1242
CUST0025,customer25@example.com,Customer 25,2024-11-19,inactive,3854
CUST0026,customer26@example.com,Customer 26,2024-05-21,active,84
CUST0027,customer27@example.com,Customer 27,2024-03-26,inactive,2363
CUST0028,customer28@example.com,Customer 28,2024-05-15,inactive,117
CUST0029,customer29@example.com,Customer 29,2024-03-26,active,3099
CUST0030,customer30@example.com,Customer 30,2024-12-20,active,1646
CUST0031,customer31@example.com,Customer 31,2024-10-08,active,2671
CUST0032,customer32@example.com,Customer 32,2024-11-19,active,3493
CUST0033,customer33@example.com,Customer 33,2024-07-02,active,1355
CUST0034,customer34@example.com,Customer 34,2024-06-17,active,74
CUST0035,customer35@example.com,Customer 35,2024-10-13,active,2221
CUST0036,customer36@example.com,Customer 36,2024-11-16,active,4532
CUST0037,customer37@example.com,Customer 37,2024-03-01,active,664
CUST0038,customer38@example.com,Customer 38,2024-05-07,active,2641
CUST0039,customer39@example.com,Customer 39,2024-12-21,inactive,4725
CUST0040,customer40@example.com,Customer 40,2024-10-18,active,745
CUST0041,customer41@example.com,Customer 41,2024-06-03,active,2606
CUST0042,customer42@example.com,Customer 42,2024-02-21,active,3777
CUST0043,customer43@example.com,Customer 43,2024-03-18,active,4407
CUST0044,customer44@example.com,Customer 44,2024-10-09,active,1882
CUST0045,customer45@example.com,Customer 45,2024-03-07,active,2673
CUST0046,customer46@example.com,Customer 46,2024-05-12,inactive,1723
CUST0047,customer47@example.com,Customer 47,2024-05-05,active,1211
CUST0048,customer48@example.com,Customer 48,2024-10-08,active,2194
CUST0049,customer49@example.com,Customer 49,2024-02-10,active,3340
CUST0050,customer50@example.com,Customer 50,2024-08-05,active,4535
